Make,Fuel,Aspiration,Doors,Body,Drive,EngineLoc,Wheelbase,Length,Width,Height,Weight,EngineType,Cylinders,HwyMpg
alfa-romero,gas,std,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,27
alfa-romero,gas,std,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,27
alfa-romero,gas,std,2,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6,26
audi,gas,std,4,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,4,30
audi,gas,std,4,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,5,22
audi,gas,std,2,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,5,25
audi,gas,std,4,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,5,25
audi,gas,std,4,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,5,25
audi,gas,turbo,4,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,5,20
audi,gas,turbo,2,hatchback,4wd,front,99.5,178.2,67.9,52,3053,ohc,5,22
bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,29
bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,29
bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,6,28
bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,6,28
bmw,gas,std,4,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,6,25
bmw,gas,std,4,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,6,22
bmw,gas,std,2,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,6,22
bmw,gas,std,4,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,6,20
chevrolet,gas,std,2,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,3,53
chevrolet,gas,std,2,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,4,43
chevrolet,gas,std,4,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,4,43
dodge,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,41
dodge,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,38
dodge,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,30
dodge,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,38
dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,38
dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,38
dodge,gas,turbo,?,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,4,30
dodge,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,30
dodge,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,4,24
honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,4,54
honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,4,38
honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,4,42
honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,4,34
honda,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,4,34
honda,gas,std,4,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,4,34
honda,gas,std,4,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,4,34
honda,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,4,33
honda,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,4,33
honda,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4,33
honda,gas,std,4,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4,33
honda,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4,28
honda,gas,std,2,sedan,fwd,front,96.5,169.1,66,51,2293,ohc,4,31
isuzu,gas,std,4,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,4,29
isuzu,gas,std,2,sedan,fwd,front,94.5,155.9,63.6,52,1874,ohc,4,43
isuzu,gas,std,4,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,4,43
isuzu,gas,std,2,hatchback,rwd,front,96,172.6,65.2,51.4,2734,ohc,4,29
jaguar,gas,std,4,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,6,19
jaguar,gas,std,4,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,6,19
jaguar,gas,std,2,sedan,rwd,front,102,191.7,70.6,47.8,3950,ohcv,12,17
mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4,31
mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4,38
mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4,38
mazda,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,4,38
mazda,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,4,38
mazda,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,2,23
mazda,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,2,23
mazda,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2385,rotor,2,23
mazda,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2500,rotor,2,23
mazda,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,32
mazda,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,32
mazda,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,32
mazda,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,32
mazda,diesel,std,?,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,4,42
mazda,gas,std,4,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,4,32
mazda,gas,std,4,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,4,27
mazda,diesel,std,4,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,4,39
